user	item	rating
0	0	3
0	522	3
0	431	5
0	834	5
0	380	4
0	83	4
0	632	2
0	86	4
0	363	3
0	649	4
0	423	3
0	291	3
0	10	2
0	179	3
0	751	3
0	487	3
0	665	3
0	1045	3
0	656	4
0	432	2
0	365	3
0	321	2
0	491	3
0	521	1
1	1	3
1	305	1
1	577	4
1	627	3
1	746	5
1	800	3
1	151	4
1	433	4
1	370	1
1	970	5
1	516	3
1	527	1
1	280	3
1	204	4
1	364	3
1	349	2
1	368	4
1	77	2
1	1102	4
1	1152	4
1	197	1
1	140	5
1	43	3
1	60	1
1	443	4
1	25	4
1	49	4
1	85	3
1	416	3
1	23	2
1	758	5
1	585	3
1	26	3
1	668	2
1	190	2
1	1104	3
1	1449	2
1	755	2
1	228	3
1	403	2
1	243	3
1	48	4
1	559	3
1	31	5
1	216	3
1	851	3
1	506	5
1	149	3
1	1198	1
1	298	4
1	783	5
1	801	4
1	157	1
1	153	3
1	464	2
1	572	3
1	925	4
1	890	4
1	297	1
1	399	4
1	95	3
1	1193	3
1	18	5
1	145	4
1	1248	2
1	608	3
1	172	5
1	136	3
1	452	4
1	446	2
1	491	1
2	2	1
2	414	3
2	46	3
2	157	5
2	156	4
2	894	1
2	538	4
2	479	3
2	321	5
2	731	1
2	893	1
2	307	5
2	102	5
2	95	1
2	468	1
2	14	1
2	140	4
2	578	1
2	82	5
2	923	4
2	403	3
2	459	1
2	521	1
2	105	4
2	607	3
2	758	4
2	329	5
2	197	1
2	332	3
2	995	1
2	158	5
2	1023	5
2	96	5
2	813	1
2	836	1
2	112	4
2	656	1
2	367	5
2	1077	3
2	629	4
2	437	1
2	527	3
2	591	5
2	937	1
2	8	4
2	846	1
2	817	3
2	1251	1
2	555	1
2	146	2
2	226	1
2	458	1
2	899	1
2	373	5
2	478	1
2	342	3
2	363	3
2	900	3
2	613	5
2	801	3
2	76	2
2	25	3
2	303	1
2	1132	1
2	201	4
2	916	3
2	476	3
2	147	2
2	456	4
2	187	1
2	362	4
2	55	3
2	707	5
2	258	4
2	347	3
2	182	4
2	525	1
2	305	5
2	136	1
2	93	4
2	101	5
2	1258	1
2	308	3
2	6	3
2	504	3
3	3	2
3	124	4
3	131	2
3	160	3
3	307	3
3	6	4
3	324	2
3	377	4
3	449	4
3	368	1
3	511	3
3	193	4
3	527	3
3	88	5
3	264	3
3	577	2
3	817	3
3	822	5
3	526	3
3	176	2
3	329	5
3	320	2
3	768	5
3	740	4
3	348	3
3	649	4
3	432	4
3	340	4
3	1089	2
3	362	3
3	796	5
3	287	4
3	497	4
3	492	5
3	758	1
3	560	3
3	79	2
3	590	4
3	1119	2
3	778	4
3	365	3
3	65	4
3	59	4
3	675	5
3	487	3
3	296	2
3	242	4
3	413	3
3	571	4
3	254	5
3	1245	5
3	616	4
3	150	3
3	714	2
3	418	4
3	53	5
3	1054	4
3	52	4
3	140	2
3	667	3
3	118	4
3	707	3
3	93	4
3	197	3
3	315	4
3	226	1
3	257	4
3	336	2
3	588	1
3	358	2
3	134	4
3	103	5
3	142	4
3	525	2
3	456	4
3	1210	3
3	177	2
3	893	3
3	887	5
3	749	4
3	445	5
3	473	4
3	97	2
3	645	3
3	404	2
3	215	3
3	13	2
3	435	3
3	1056	5
3	120	1
3	8	4
3	38	2
3	499	4
3	710	4
3	291	4
3	113	5
3	83	4
3	1138	5
3	151	3
3	1018	3
3	1049	4
3	468	4
3	244	4
3	366	1
3	396	4
3	167	2
3	555	2
3	207	3
3	1076	3
3	934	4
3	30	5
3	101	3
3	200	5
3	351	4
3	139	5
3	689	4
3	205	3
3	316	3
3	1171	4
3	227	1
3	357	5
3	231	3
3	528	3
3	12	2
3	797	4
3	664	4
3	610	4
3	181	1
3	1092	4
3	328	3
3	479	5
3	208	5
3	423	4
3	387	4
3	1143	3
3	945	3
3	1077	3
3	654	5
3	774	2
3	442	3
3	794	3
3	22	1
3	502	5
3	198	4
3	23	2
3	587	4
3	961	2
3	221	4
3	612	4
3	195	5
3	29	3
3	302	3
3	196	3
3	390	3
3	629	4
3	695	5
3	754	3
3	471	4
3	400	3
3	203	4
3	298	2
3	317	4
3	32	4
3	644	2
3	1100	3
3	1016	5
3	403	1
3	158	2
3	834	4
3	818	3
4	4	1
4	98	5
4	60	3
4	157	4
4	985	4
4	144	5
4	175	2
4	95	3
4	289	1
4	668	3
4	184	5
4	187	3
4	325	3
4	731	1
5	111	4
5	151	3
5	21	3
5	653	3
5	350	4
5	503	3
5	529	2
5	389	5
5	1002	4
5	103	3
5	661	4
5	465	3
5	822	3
5	22	4
5	112	4
5	99	5
5	113	3
5	781	3
5	923	5
5	807	3
5	629	5
5	309	5
5	567	3
5	471	4
5	225	4
5	17	3
5	179	3
5	361	3
5	185	5
5	506	3
5	340	3
5	480	3
5	538	4
5	120	4
5	256	3
5	409	3
5	174	5
5	657	5
5	34	5
5	95	3
5	260	5
5	94	4
5	200	5
5	220	3
5	23	4
5	753	5
5	36	5
5	189	5
5	307	4
5	622	5
5	272	4
5	445	3
5	367	5
5	1049	3
5	319	5
5	221	3
5	342	5
5	57	5
5	96	5
5	53	4
5	137	3
5	32	5
5	6	4
5	695	2
5	464	4
5	125	5
5	62	5
5	357	5
5	25	3
5	302	3
5	552	3
5	973	4
5	240	5
5	783	3
5	364	3
5	89	3
5	110	3
5	293	3
5	647	4
5	54	3
6	6	2
6	59	3
6	266	4
6	499	4
6	182	4
6	191	1
6	753	5
6	299	4
6	401	5
6	614	2
6	38	5
6	524	2
6	355	5
6	511	3
6	746	2
6	120	2
6	816	1
6	99	1
6	534	3
6	52	4
6	1206	5
6	502	5
6	357	5
6	172	2
6	491	3
6	408	3
6	77	2
6	340	1
6	403	3
6	256	5
6	47	4
6	240	5
6	378	3
6	102	3
6	101	5
6	160	3
6	31	3
6	660	3
6	432	5
6	148	5
6	496	5
6	111	5
6	789	4
6	76	3
6	327	3
6	647	4
6	406	2
6	392	3
6	801	3
6	732	4
6	535	3
6	211	3
6	1	4
6	693	3
6	49	5
6	490	4
7	339	2
7	320	4
7	207	3
7	590	3
7	174	5
7	235	5
7	201	4
7	95	4
7	476	4
7	697	3
7	288	2
7	657	5
7	153	3
7	140	5
7	394	2
7	693	4
7	547	5
7	485	4
7	668	2
7	280	2
7	141	3
7	98	4
7	351	3
7	366	4
7	561	4
7	356	3
7	216	3
7	408	5
7	608	3
7	87	3
7	297	5
7	179	5
7	652	4
7	389	4
7	49	4
7	97	2
7	68	4
7	204	3
7	110	5
7	54	3
7	176	4
7	552	3
7	1455	3
7	221	3
7	479	3
7	1301	3
7	24	5
7	730	1
7	928	3
7	66	5
7	29	4
7	231	3
7	100	5
7	367	3
7	261	3
7	47	4
8	8	3
8	66	5
8	140	2
8	195	2
8	284	4
8	309	3
8	174	5
8	156	3
8	229	1
8	357	5
8	341	1
8	307	4
8	184	3
8	68	1
8	547	1
8	329	3
8	93	5
8	54	3
8	216	1
8	546	3
8	166	5
8	133	4
8	82	2
8	1	4
8	347	3
8	901	3
8	949	3
8	10	2
8	1009	1
8	1066	3
8	85	3
8	262	3
8	153	4
8	730	2
8	103	4
8	494	3
8	386	2
8	240	5
8	473	2
8	117	1
